"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio"
"A0A9D4VKP5_PEA","A0A9D4VKP5",6.56886904795987e-05,0.039,TRUE,2.33
"A0A9D4VLH4_PEA","A0A9D4VLH4",3.63828615845862e-07,0.0014,TRUE,3.2
"A0A9D4W4M8_PEA","A0A9D4W1D3",6.31238766399776e-05,0.039,TRUE,-1.67
"A0A9D4WBE7_PEA","A0A9D4WBE7",7.44947291180865e-05,0.0394,TRUE,4.47
"A0A9D4WF23_PEA","A0A9D4WF23",0.000123777609347787,0.0482,TRUE,-4.26
"A0A9D4WGS9_PEA","A0A9D4WGS9",8.0396850053137e-05,0.0394,TRUE,-1.31
"A0A9D4WLF4_PEA","A0A9D4WLF4",8.4223047028346e-09,6.5e-05,TRUE,5.38
"A0A9D4WQF6_PEA","A0A9D4WQF6",2.52767788768818e-05,0.0244,TRUE,3.78
"A0A9D4XAD5_PEA","A0A9D4XAD5",8.2208701440307e-05,0.0394,TRUE,-1.98
"A0A9D4XN74_PEA","A0A9D4XJP0",2.19985601417251e-05,0.0244,TRUE,2.93
"A0A9D4Y9L2_PEA","A0A9D4Y9L2",4.44624778733672e-05,0.0312,TRUE,3.16
"A0A9D4YIF0_PEA","A0A9D4YJM3",0.000113153817054252,0.0482,TRUE,2.95
"A0A9D4YJX0_PEA","A0A9D4YJX0",1.9360924240661e-05,0.0244,TRUE,2.05
"A0A9D4ZTM9_PEA.1","A0A9D4VI26",4.28442800078973e-05,0.0312,TRUE,5.04
"A0A9D4ZWR4_PEA","A0A9D4ZWR4",8.68274886729067e-05,0.0394,TRUE,2.3
"A0A9D5A179_PEA","A0A9D5A179",3.97961295248848e-06,0.0102,TRUE,-2.85
"A0A9D5AJ70_PEA","A0A9D5AJ70",2.33497715843262e-05,0.0244,TRUE,-1.96
"A0A9D5AUT1_PEA","A0A9D5APS5",3.27401157003491e-05,0.0281,TRUE,2.05
"A0A9D5B2M4_PEA","A0A9D5B2M4",0.000131300680048831,0.0482,TRUE,-5.52
"A0A9D5BE96_PEA","A0A9D5B9Z1",1.1973008848822e-05,0.0231,TRUE,1.9
"A0A9D5BH50_PEA.1","A0A9D5BH04",0.000129812304441352,0.0482,TRUE,3.38
